Nombre del archivo,Texto extraído
CV_01_cdatos_01.pdf," Currículum Vitae - Javier Gómez Ruiz Informacion Personal Nombre: Javier Gomez Ruiz Direccion: C/ Mayor 123, Madrid, Espana Telefono: +34 612 345 678 Email: jgomezruiz@example.com LinkedIn: linkedin.com/in/javiergomezruiz Perfil Profesional Ingeniero de software junior con experiencia en desarrollo en Python, especializado en la creacion de crawlers y herramientas para extraccion de datos. Proactivo, curioso y con fuerte orientacion a resultados, con conocimientos solidos en APIs REST, web scraping y metodologias agiles. Experiencia Laboral Junior Python Developer DataWeb Solutions, Madrid (2023 Actualidad) - Desarrollo y mantenimiento de crawlers para extraccion de datos de sitios web literarios. - Implementacion de soluciones automatizadas con Selenium y BeautifulSoup4. - Colaboracion con equipos cross-funcionales en entornos agiles (Scrum). - Mantenimiento y mejora de pipelines para ingestion de datos y testing automatizado. Practicas en Desarrollo Backend PySoft Technologies, Madrid (2022 2023) - Soporte en desarrollo de microservicios en Python. - Consumo e integracion de APIs RESTful. - Generacion de documentacion tecnica y pruebas unitarias. Formacion Academica Grado en Ingenieria Informatica Universidad Complutense de Madrid (2018 2022) Habilidades Currículum Vitae - Javier Gómez Ruiz - Lenguajes: Python, SQL - Herramientas: Selenium, Requests, BeautifulSoup4, Git, REST APIs, Postman - Bases de datos: PostgreSQL, MySQL - Entornos Cloud: AWS (nivel basico) - Metodologias agiles: Scrum - Idiomas: Espanol (nativo), Ingles (fluido)"
CV_01_cdatos_02.pdf," Curriculum Vitae Nombre: Laura Fernández Ramírez Email: laura.fernandez@example.com Teléfono: +34 678 123 456 Ubicación: Madrid, España LinkedIn: linkedin.com/in/laurafernandezdata Perfil Profesional Líder estratégica con más de 12 años de experiencia en Data & AI. Experta en el diseño y ejecución de estrategias innovadoras para sectores como banca, telecomunicaciones y salud. Gran capacidad de liderazgo, visión de negocio y pasión por la tecnología con impacto social. Experiencia Profesional Responsable de Data & AI | TechVision Consulting | 2019 - Actualidad - Lideré una unidad de negocio con más de 60 profesionales. - Definición y ejecución de estrategias Data & AI para clientes clave. - Responsable del P&L y crecimiento de la rentabilidad en un 35%. - Alianzas con AWS, Microsoft y Google Cloud. Manager de Arquitectura y Analítica | NovaData Solutions | 2015 - 2019 - Gestión de proyectos de data governance y visualización. - Implantación de plataformas Big Data y soluciones de IA. Formación Académica Máster en Ciencia de Datos e Inteligencia Artificial | Universidad Politécnica de Madrid | 2014 Ingeniería en Informática | Universidad Autónoma de Madrid | 2010 Habilidades - Estrategia de Data & AI - Data Governance y Arquitectura - IA aplicada y Big Data - Desarrollo de negocio - Gestión de equipos y liderazgo - Inglés avanzado (C1)"
CV_01_cdatos_03.pdf," Currículum Vitae Datos Personales Nombre: Laura González Pérez Email: laura.gonzalez@emailfalso.com Teléfono: +34 612 345 678 Dirección: Calle Ficticia 123, Madrid, España LinkedIn: linkedin.com/in/lauragonzalezds GitHub: github.com/lauragonzalezds Perfil Profesional Data Scientist junior con formación científica y habilidades analíticas y computacionales. Experiencia en análisis de datos, desarrollo de modelos de machine learning y visualización de datos. Motivada por resolver problemas complejos en el sector retail y con interés en el aprendizaje continuo. Experiencia Profesional Data Analyst Junior - RetailData Solutions, Madrid Enero 2024 - Actualidad - Analisis de datos de ventas y comportamiento de clientes. - Desarrollo de modelos predictivos para campañas de marketing. - Visualización de resultados con Power BI y matplotlib. - Manejo de grandes volumenes de datos con PySpark. Formación Académica Máster en Ciencia de Datos - Universidad Complutense de Madrid 2022 - 2023 Grado en Estadística - Universidad Autónoma de Madrid 2018 - 2022 Habilidades Técnicas - Lenguajes de programación: Python, SQL - Machine Learning: Scikit-learn, XGBoost, redes neuronales - Big Data: PySpark - Visualización: Power BI, matplotlib, seaborn - Herramientas: Git, Jupyter, AWS - Idiomas: Español (nativo), Inglés (avanzado)"
CV_01_cdatos_04_05.pdf," Laura Martínez Hidalgo Business Analyst / Product Owner 100% Remoto - España Tel: +34 678 123 456 | Email: laura.martinez.hidalgo@example.com | LinkedIn: linkedin.com/in/lauramartinezpo Resumen Profesional Profesional con más de 7 años de experiencia como Business Analyst y Product Owner, especializada en entornos Agile Scrum, con fuerte background técnico en microservicios, APIs y desarrollo web. Amplia experiencia colaborando con áreas cross como Legal, Compliance y Producto para el diseño de soluciones tecnológicas globales. Experiencia Profesional Business Analyst / Product Owner - Posición Global & Landings - UST España & Latam Enero 2021 - Actualidad - Gestión de requerimientos y planificación de entregas para proyectos globales. - Coordinación de equipos Agile Scrum y seguimiento de KPIs. - Validación de pruebas funcionales y gestión de releases. - Comunicación directa con stakeholders y áreas cross de la organización. Business Analyst - Consultora IT - Innovatech Solutions Junio 2017 - Diciembre 2020 - Toma de requerimientos funcionales y definición de historias de usuario. - Apoyo en diseño técnico de soluciones basadas en APIs REST. - Desarrollo de dashboards para reporting y análisis de procesos. - Facilitación de ceremonias Agile: dailys, planning, retrospectives y reviews. Formación Académica Grado en Ingeniería Informática - Universidad de Sevilla (2012 - 2016) Certificación Scrum Product Owner - Scrum.org (2020) Curso de Especialización en APIs y Microservicios - UDEMY (2021) Habilidades Jira, Confluence, Postman, Power BI, SQL, ETL, REST APIs, Agile Scrum, Análisis de Requisitos, Testing Funcional, Reporting, Gestión de Incidencias Idiomas Español (nativo), Inglés (B2)"
CV_01_ingdatos_01.pdf," Andrés Navarro Castillo Junior Python Developer Barcelona, España Tel: +34 645 112 334 | Email: andres.navarro.dev@example.com | LinkedIn: linkedin.com/in/andresnavarrodev Resumen Profesional Desarrollador Junior especializado en Python, con experiencia en desarrollo de scripts de automatización, web scraping y manejo de APIs. Apasionado por el desarrollo backend y la integración de soluciones de datos. Con fuerte orientación al aprendizaje continuo, resolución de problemas y mejora de procesos mediante tecnologías eficientes y escalables. Experiencia Profesional Python Developer (Internship) - DataFlow Tech Solutions Junio 2023 - Enero 2024 - Desarrollo de scripts en Python para extracción de datos desde sitios web utilizando Selenium y BeautifulSoup. - Mantenimiento de crawlers y soporte técnico al equipo de análisis de datos. - Consumo e integración de APIs REST para automatización de procesos internos. - Participación en pruebas unitarias y documentación técnica de los procesos desarrollados. Técnico de soporte informático - NetCore Systems Enero 2022 - Abril 2023 - Asistencia técnica a usuarios y resolución de incidencias de software y hardware. - Automatización de reportes internos con scripts en Python y Excel. - Soporte básico en bases de datos y consultas SQL. - Elaboración de documentación técnica para procesos internos del equipo de soporte. Formación Académica Grado en Ingeniería Informática - Universitat de Barcelona (2018 - 2022) Curso Profesional de Web Scraping y Automatización con Python - Udemy (2023) Certificación Python Developer Essentials - Codecademy (2023) Habilidades Python, Selenium, BeautifulSoup4, Requests, APIs REST, SQL, Git, Bash, HTML, Unit Testing, Agile/Scrum, Documentación Técnica Idiomas Español (nativo), Inglés (C1)"
CV_01_ingdatos_02.pdf," CURRÍCULUM VITAE Luis Fernando Ramírez Ortega Email: luis.ramirez.dev@example.com Teléfono: +34 612 345 678 LinkedIn: linkedin.com/in/luisramirezdev GitHub: github.com/luisramirezdev Ubicación: Madrid, España Perfil Profesional Desarrollador Python con experiencia en automatización de procesos, desarrollo de web crawlers y soluciones tecnológicas aplicadas al tratamiento de datos. Apasionado por la optimización de tareas repetitivas mediante código limpio y mantenible. Destacado por el trabajo colaborativo, la resolución de problemas complejos y la mejora continua. Buscando seguir creciendo profesionalmente como Junior Python Engineer en entornos agiles e innovadores. Habilidades Técnicas - Lenguajes: Python (avanzado), SQL (intermedio), HTML/CSS (basico) - Web scraping: Selenium, Requests, BeautifulSoup4 - APIs RESTful (consumo e integracion) - Control de versiones: Git, GitHub - Bases de datos: MySQL, PostgreSQL - Testing: Unit tests (unittest, pytest) - Herramientas: JIRA, VSCode, Postman, Docker (basico) - Cloud: AWS (nivel inicial) - Office: Excel avanzado, Outlook, Word Experiencia Profesional Junior Python Developer - DataCrafters Tech Madrid, España - Ene 2023 / Dic 2024 - Desarrolle y mantuve mas de 20 scripts de web scraping para la extraccion de datos literarios. - Implemente soluciones de crawling escalables utilizando Selenium y BeautifulSoup4. - Participe en proyectos agiles junto a Product Managers y QA Engineers. - Disene integraciones API para la recoleccion automatizada de metadatos. - Documente procesos y colabore en pruebas automatizadas. Trainee Python Developer - Innovatek Solutions Remoto - Jul 2022 / Dic 2022 - Colabore en la depuracion de codigo legado en Python. - Implemente scripts para automatizar el procesamiento de archivos. - Asisti en tareas de testing y revision de codigo. - Aprendi sobre flujos DevOps y despliegue en staging. Formacion Academica Grado en Ingenieria Informatica - Universidad Politecnica de Valencia (2017 - 2021) Certificacion: Python for Data Science and Automation - Coursera (IBM - 2022) Idiomas - Espanol: Nativo - Ingles: Avanzado (C1 - Cambridge Advanced Certificate) - Aleman: Intermedio (B1) Proyectos Destacados - Literature Crawler Suite: Sistema de rastreo para sitios literarios regionales, con analisis de metadatos y almacenamiento SQL. - API Middleware: Microservicio en Python que consume multiples APIs y unifica datos para sistemas internos. Competencias Personales - Atencion al detalle y pensamiento analitico - Trabajo en equipo y comunicacion transversal - Capacidad de adaptacion a entornos dinamicos - Proactividad en el aprendizaje de nuevas tecnologias"
CV_01_ingdatos_03.pdf," Currículum Vitae - Javier Martín López Datos Personales Nombre: Javier Martín López Dirección: Calle Ficticia 123, 39001 Santander, Cantabria Teléfono: +34 612 345 678 Correo: javier.martin@example.com LinkedIn: linkedin.com/in/javiermartindata Perfil Profesional Ingeniero de Datos con más de 3 años de experiencia desarrollando soluciones de procesamiento y análisis de datos. Especializado en entornos Big Data, pipelines de ETL y visualización de datos. Apasionado por la transformación digital y la aplicación de tecnologías innovadoras como Machine Learning e Inteligencia Artificial. Experiencia Laboral Ingeniero de Datos - LIS Data Solutions ES | Data for Change (2022 - Actualidad) - Desarrollo de plataformas escalables para tratamiento y almacenamiento de datos. - Implementación de pipelines ETL con Python, Pandas y PySpark sobre Databricks. - Integración de soluciones en Azure (Blob Storage, Synapse Analytics). - Desarrollo de dashboards interactivos en Power BI. - Colaboración en revisión de código, control de versiones con Git. Currículum Vitae - Javier Martín López Data Analyst - AnalytIQ Solutions (2019 - 2022) - Automatización de flujos de datos y análisis con SQL y Python. - Visualización de datos en Tableau y generación de informes ejecutivos. - Desarrollo de modelos predictivos para optimización de procesos industriales. Educación Grado en Ingeniería Informática - Universidad de Cantabria (2015 - 2019) Certificación Profesional en Big Data - Escuela de Tecnologías Avanzadas (2020) Habilidades Técnicas - Lenguajes: Python, SQL, PySpark - Herramientas: Databricks, Azure, Power BI, Git, Tableau, Qlik Sense - BBDD: PostgreSQL, MySQL, MongoDB, Azure SQL - Idiomas: Español (nativo), Inglés (B2)"
CV_01_ingdatos_04.pdf," Currículum Vitae Datos Personales Nombre: Javier Martínez Alonso Dirección: Calle Ficticia 123, 28080 Madrid Teléfono: +34 600 123 456 Email: javier.martinez@ejemplo.com LinkedIn: linkedin.com/in/javier-martinez-bi Perfil Profesional Desarrollador Senior de Business Intelligence con más de 6 años de experiencia diseñando e implementando soluciones analíticas y de visualización de datos para impulsar la toma de decisiones estratégicas. Especialista en Power BI, Qlik Sense, SQL y construcción de Data Warehouses. Experiencia Profesional Senior Business Intelligence Developer Altia, Madrid | Marzo 2021 - Actualidad - Análisis de requisitos de negocio y transformación en soluciones de BI. - Diseño e implementación de dashboards e informes en Power BI y Qlik Sense. - Construcción de Data Warehouses y desarrollo de procesos ETL. - Optimización de modelos de datos dimensionales para reporting eficiente. Business Intelligence Consultant DataSolutions S.L., Madrid | Junio 2018 - Febrero 2021 - Desarrollo de soluciones analíticas personalizadas para clientes del sector financiero. - Automatización de procesos de reporting mediante SQL y ETL. - Diseño de modelos de datos y visualización avanzada con Power BI. Formación Académica Grado en Ingeniería Informática Universidad Politécnica de Madrid | 2014 - 2018 Habilidades Técnicas - Power BI - Qlik Sense - SQL - Modelado dimensional - ETL (SSIS, Talend) - Data Warehousing - Python (básico) Idiomas - Español: Nativo - Inglés: Avanzado (C1)"
CV_01_ingdatos_05.pdf," Oferta de Empleo: Splunk Software Engineer Empresa: Coforge Acerca del empleo Rol: Splunk Software Engineer Tipo de contrato: Permanente Modelo de trabajo: Híbrido (2 días en la oficina del cliente por semana) En Coforge estamos buscando incorporar un/a Splunk Software Engineer con las siguientes habilidades: Estamos buscando una persona técnica para unirse a nuestro equipo de datos y análisis en uno de nuestros principales clientes en España. Esta persona formará parte de un equipo encargado de la recolección de datos, análisis, visualización y monitoreo para una de las principales áreas de negocio de este cliente. La posición requerirá interactuar con múltiples interesados para recoger requisitos y crear paneles ad-hoc, automatizar elementos de informes existentes, analizar información para mejorar el análisis y la visualización de datos, etc. Responsabilidades: - Soporte técnico a los paneles de control implementados. - Actualización, mejora, renovación y evolución de los paneles existentes, creación de nuevos, creación de nuevas alertas e indicadores, etc. - Entrega de nuevas mejoras utilizando el conjunto de herramientas técnicas. - Interacción con múltiples interesados para recopilar requisitos y ser capaz de convertirlos en nuevas características en las aplicaciones. - Análisis de datos. Análisis de impacto de incidentes. - Monitoreo de la calidad de los datos. - Capacidad para priorizar actividades según las prioridades del cliente. Capacidades técnicas requeridas: Habilidades ""Imprescindibles"": - Splunk (nivel intermedio-avanzado) - Lenguaje SQL (capacidad para diseñar consultas para recolección y análisis de datos) - Experiencia en gestión de datos y análisis de datos - Modelado de datos para la entrega de informes y paneles de control Habilidades ""Deseables"": - Google Analytics - Dynatrace - Conocimiento a nivel usuario de herramientas Atlassian (Confluence y JIRA)"
CV_01_jurista_01.pdf," Oferta de Colaboración con Asesoría Fiscal Málaga Descripción de Colaborador Potencial Nombre del Colaborador: Ana Rodríguez Gómez Titulación: Licenciada en Económicas Años de Experiencia: 9 años Especialidades: Fiscalidad de PYMEs, Contabilidad financiera, Asesoramiento tributario Herramientas Utilizadas: A3 Asesor, Sage 50, Excel avanzado Clientes Actuales: 31 empresas y autónomos Disponibilidad: Inmediata Modalidad: Autónoma Independiente Oficina: Despacho privado en zona centro de Málaga Contacto: ana.rodriguez.asesoria@email.com / 600 123 456 Resumen: Ana Rodríguez Gómez es una profesional con amplia experiencia en el ámbito fiscal y contable, especializada en asesoramiento a PYMEs. Está disponible para colaborar con asesorías que requieran derivación de clientes y gestión de carteras, contando con un despacho privado para atender a sus clientes de forma personalizada. Página 1"
CV_01_jurista_02.pdf," Currículum Vitae Datos Personales Nombre: Laura Martínez Rodríguez Dirección: Calle Limonar, 27, 29016 Málaga Teléfono: +34 654 321 987 Correo electrónico: laura.martinez@example.com Fecha de nacimiento: 12 de marzo de 1990 Nacionalidad: Española Perfil Profesional Abogada especializada en Derecho Público y Urbanismo con más de 5 años de experiencia en asesoramiento jurídico urbanístico, tramitación de licencias y elaboración de informes técnicos-legales. Alta capacidad analítica, habilidades de comunicación y trabajo en equipo, con dominio avanzado del inglés. Experiencia Profesional Abogada Senior en Derecho Urbanístico Bufete Legal & Urbanismo | Málaga | Febrero 2020 - Actualidad - Elaboración de due diligence urbanísticas para suelos y edificaciones. - Tramitación de autorizaciones administrativas y medioambientales. - Redacción de proyectos de reparcelación y expedientes de expropiación. - Participación en secretarías técnicas de Juntas de Compensación. - Preparación de recursos administrativos y contencioso-administrativos. Abogada Junior en Derecho Administrativo Urbanlex Abogados | Sevilla | Enero 2017 - Enero 2020 - Asesoramiento legal en contratos administrativos y licitaciones públicas. - Apoyo en seguimiento legislativo y elaboración de informes técnicos. - Gestión de expedientes urbanísticos y planeamiento territorial. Formación Académica Máster en Derecho Urbanístico y del Medio Ambiente Universidad de Málaga | 2016 - 2017 Grado en Derecho Universidad de Sevilla | 2011 - 2015 Idiomas Español: Nativo Inglés: Avanzado (C1) Habilidades - Derecho Urbanístico - Contratación administrativa - Tramitación de licencias y autorizaciones - Redacción de informes jurídicos - Trabajo en equipo - Microsoft Office y herramientas legales digitales"
CV_01_jurista_03.pdf," Currículum Vitae Datos Personales Nombre: Laura Martínez Gómez Dirección: Calle Innovación 45, 14010 Córdoba, España Teléfono: +34 654 321 987 Correo electrónico: laura.martinezg@ejemplo.com LinkedIn: linkedin.com/in/lauramartinezgomez (cid:10)Perfil Profesional Consultora de I+D con más de 3 años de experiencia en redacción de propuestas nacionales y europeas, gestión de proyectos innovadores en el ámbito de la energía y digitalización, y coordinación con partners y centros tecnológicos. Apasionada por la innovación y con capacidad para liderar y ejecutar proyectos complejos. Nivel de inglés C1. (cid:10)Experiencia Profesional Consultora de I+D INNOVATECH SOLUTIONS S.L. | Córdoba | 2021 - Actualidad - Redacción de propuestas de I+D nacionales y europeas (Horizonte Europa, CDTI, etc.). - Gestión y coordinación de proyectos en energía renovable, almacenamiento y Smart Grids. - Elaboración de informes técnicos y financieros. - Coordinación con consorcios internacionales, centros de investigación y consultoras especializadas. Asistente Técnica de Proyectos I+D TECNOENERGY CONSULTING | Sevilla | 2019 - 2021 - Apoyo en la elaboración de memorias técnicas para propuestas de I+D. - Seguimiento de ejecución técnica y económica de proyectos europeos. - Apoyo en la búsqueda de socios estratégicos y análisis de convocatorias. (cid:10)Formación Académica Máster en Energías Renovables y Eficiencia Energética Universidad de Sevilla | 2017 - 2018 Grado en Ingeniería Industrial Universidad de Córdoba | 2012 - 2017 (cid:10)Idiomas Inglés: C1 (Cambridge Advanced Certificate) Francés: B1 (cid:10)Habilidades - Redacción de propuestas de I+D - Gestión de proyectos europeos - Coordinación de consorcios - Elaboración de informes técnicos y financieros - Herramientas: MS Project, Excel avanzado, ERP, CRM"
CV_01_jurista_04.pdf," Carlos Martín Sánchez Málaga, España | +34 612 345 678 | carlos.martin@emailficticio.com LinkedIn: linkedin.com/in/carlosmartinfiscal Perfil Profesional Graduado en Derecho con Máster en Asesoría Fiscal de Empresas, con experiencia en fiscalidad corporativa, cumplimiento tributario y operaciones de reestructuración empresarial. Apasionado por el entorno legal-fiscal y orientado a resultados, con habilidades analíticas, atención al detalle y capacidad para trabajar en entornos dinámicos. Busco seguir desarrollando mi carrera en el área fiscal dentro de un entorno de excelencia como PwC. Formación Académica Máster en Asesoría Fiscal de Empresas Universidad Autónoma de Madrid | 2022 – 2023 Grado en Derecho Universidad de Málaga | 2017 – 2021 Experiencia Profesional Asistente Fiscal – Gómez & Asociados Asesores Fiscales (Málaga) Julio 2023 – Actualidad - Elaboración de declaraciones fiscales (IVA, IS, IRPF). - Asistencia en inspecciones tributarias y revisión de documentación legal. - Apoyo en planificación fiscal y operaciones de reestructuración. - Comunicación directa con clientes nacionales e internacionales. Prácticas Jurídico-Fiscales – Bufete Rivera & López (Málaga) Enero 2022 – Junio 2022 - Apoyo en análisis normativo y jurisprudencial. - Revisión de documentación corporativa. - Colaboración en la elaboración de informes fiscales y contratos mercantiles. Idiomas - Español: Nativo Carlos Martín Sánchez Málaga, España | +34 612 345 678 | carlos.martin@emailficticio.com LinkedIn: linkedin.com/in/carlosmartinfiscal - Inglés: Avanzado (C1 - Certificado Cambridge) - Francés: Intermedio (B1) Habilidades Técnicas - Herramientas: MS Office, Excel Avanzado, A3 Software, Sage Despachos - Conocimientos: Derecho Tributario, Fiscalidad Internacional, Compliance, Due Diligence Habilidades Personales - Pensamiento analítico - Comunicación efectiva - Trabajo en equipo - Capacidad de adaptación - Atención al detalle Otros Datos - Carnet de conducir B - Disponibilidad inmediata - Alta motivación por el aprendizaje continuo y el desarrollo profesional"
